Selección,Fuente,URL,Image_url,Titulo,Descripcion,Tiempo de preparación,Tipo de comida,Categoria,PDF_URL,Ingrediente_1,Cantidad_1,Tipo_1,Ingrediente_2,Cantidad_2,Tipo_2,Ingrediente_3,Cantidad_3,Tipo_3,Ingrediente_4,Cantidad_4,Tipo_4,Ingrediente_5,Cantidad_5,Tipo_5,Ingrediente_6,Cantidad_6,Tipo_6,Ingrediente_7,Cantidad_7,Tipo_7,Ingrediente_8,Cantidad_8,Tipo_8,Ingrediente_9,Cantidad_9,Tipo_9,Ingrediente_10,Cantidad_10,Tipo_10,Ingrediente_11,Cantidad_11,Tipo_11,Ingrediente_12,Cantidad_12,Tipo_12,Valor energético (kJ),Valor energético (kcal),Grasas,de las cuales saturadas,Carbohidratos,de los cuales azúcares,Fibra,Proteínas,Paso 1,Paso 2,Paso 3,Paso 4,Paso 5,Paso 6
TRUE,Come&Sana,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Pavo a la plancha con ,boniato pimiento y canonigos,30 minutos,Comida,Carnes,,Pavo,300 gramo,Carnicería,Boniato,200 gramo,Vegetales y Legumbres,Pimiento,1 unidad,Vegetales y Legumbres,Canónigos,100 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,1400 kJ,334 kcal,10 g,2 g,30 g,10 g,8 g,30 g,Pela y corta el boniato en cubos pequeños,Cocina el boniato en agua hirviendo con sal hasta que esté tierno,Lava y corta el pimiento en tiras,Sazona el pavo con sal y pimienta,Cocina el pavo a la plancha con un poco de aceite de oliva hasta que esté dorado y cocido,"En una sartén, saltea el pimiento hasta que esté tierno. Mezcla el boniato cocido con el pimiento y los canónigos en un bol"
TRUE,Come&Sana,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Chuleta de cerdo,con calabacín a la plancha,25 minutos,Comida,Carnes,,Chuleta de cerdo,400 gramo,Carnicería,Calabacín,2 unidad,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 kJ,358 kcal,20 g,7 g,10 g,2 g,5 g,30 g,Sazona las chuletas de cerdo con sal y pimienta,Cocina las chuletas a la plancha con un poco de aceite de oliva hasta que estén doradas y cocidas,Lava y corta los calabacines en rodajas gruesas,Cocina los calabacines a la plancha con un poco de aceite de oliva hasta que estén dorados y tiernos,Salpimienta al gusto los calabacines,Sirve las chuletas de cerdo con los calabacines a la plancha. 
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1002,Ensalada Templada con Lechuga,Queso de Cabra y Setas,15 minutos,Cena,Ensaladas,,Lechuga,100 gramo,Vegetales y Legumbres,Tomate,1 unidad,Vegetales y Legumbres,Queso de cabra,50 gramo,"Lácteos, Huevos y Derivados",Nueces,30 gramo,Frutos Secos,Pasas,30 gramo,Frutos Secos,Vinagre balsámico,1 cucharada,Salsas y Aderezos,Champiñones,200 gramo,Vegetales y Legumbres,Miel,1 cucharada,Condimentos y Especias,,,,,,,,,,,,,1500 kJ,360 kcal,15 g,4 g,35 g,6 g,4 g,15 g,Lava y corta la lechuga y los tomates cherry,"En una ensaladera, mezcla la lechuga, los tomates cherry, el queso feta desmenuzado, las almendras y los arándanos secos","En un bol pequeño, mezcla el aceite de oliva, el zumo de limón, la sal y la pimienta",Añade el aliño a la ensalada y mezcla bien antes de servir,Decora con hojas de menta fresca,
TRUE,Penaparda,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Guisantes Salteados,con Jamón serrano y Cebolla Caramelizada,30 minutos,Cena,Legumbres,,Guisantes,200 gramo,Vegetales y Legumbres,Jamón serrano,50 gramo,Charcutería,Cebolla,1 unidad,Vegetales y Legumbres,Azúcar,1 cucharadita,Condimentos y Especias,Ajo,1 unidad,Vegetales y Legumbres,Vino blanco,50 mililitro,Salsas y Aderezos,,,,,,,,,,,,,,,,,,,1500 kJ,360 kcal,15 g,3 g,40 g,5 g,6 g,15 g,Pela y corta la cebolla en juliana,"En una sartén, calienta una cucharada de aceite de oliva y añade la cebolla con una pizca de sal y el azúcar",Cocina a fuego lento hasta que la cebolla esté caramelizada,"En otra sartén, calienta el aceite de oliva restante y añade el ajo picado",Añade los guisantes y saltea durante 5 minutos,Agrega el Jamón serrano cortado en tiras y el vino blanco. Cocina durante 2 minutos más y añade la cebolla caramelizada antes de servir
TRUE,Penaparda,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Salmón a la Plancha,con Brócoli al Vapor,20 minutos,Cena,Pescados,,Brócoli,200 gramo,Vegetales y Legumbres,Limón,1 unidad,Frutas,Salmón,500 gramo,Pescadería,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 kJ,360 kcal,20 g,4 g,10 g,2 g,4 g,35 g,Cocina el brócoli al vapor durante 5-7 minutos,Sazona los filetes de salmón con sal y pimienta,Calienta el aceite de oliva en una sartén y cocina el salmón durante 4-5 minutos por cada lado,Sirve el salmón con el brócoli al vapor y rodajas de limón,,
TRUE,Penaparda,,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Revuelto de Brócoli,con Pimiento rojo y Calabacín,25 minutos,Cena,Vegetariano,,Brócoli,200 gramo,Vegetales y Legumbres,Pimiento rojo,1 unidad,Vegetales y Legumbres,Calabacín,1 unidad,Vegetales y Legumbres,Huevos,4 unidad,"Lácteos, Huevos y Derivados",Ajo,1 unidad,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,1500 kJ,360 kcal,15 g,3 g,30 g,6 g,5 g,20 g,Precalienta el horno a 180ºC,Estira la masa quebrada y colócala en un molde para quiche,Corta el calabacín en rodajas y la cebolla en juliana,"En una sartén, calienta el aceite de oliva y sofríe la cebolla y el calabacín hasta que estén tiernos","En un bol, bate los Huevos con la nata líquida, el queso rallado, sal, pimienta y nuez moscada",Añade las verduras a la mezcla de Huevos y vierte sobre la masa quebrada. Hornea durante 35-40 minutos o hasta que la quiche esté dorada y cuajada
TRUE,Come&Sana,,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1002,Ensaladilla rusa con huevo cocido,cucharadita de mayonesa AOVE y vinagre,30 minutos,Cena,Vegetariano,,Ensaladilla rusa,400 gramo,Vegetales y Legumbres,Huevo cocido,2 unidad,Lácteos y Derivados,Mayonesa,2 cucharadita,Salsas y Aderezos,AOVE (Aceite de oliva virgen extra),2 cucharada,Salsas y Aderezos,Vinagre,1 cucharada,Salsas y Aderezos,,,,,,,,,,,,,,,,,,,,,,1600 kJ,382 kcal,30 g,4 g,20 g,5 g,6 g,10 g,Pela y corta las patatas y zanahorias en cubos pequeños,"Cocina las patatas, zanahorias y guisantes en agua hirviendo con sal hasta que estén tiernos",Cuece los huevos en agua hirviendo durante 10 minutos y pélalos,Enfriar las verduras y los huevos en agua fría,Pica finamente los huevos cocidos y mezcla con las verduras,"Añade mayonesa, aceite de oliva virgen extra (AOVE) y vinagre al gusto. Mezcla todo bien, salpimienta y sirve frío"
TRUE,Come&Sana,,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Arroz integral con pavo,y verduras,40 minutos,Comida,Carnes,,Arroz integral,200 gramo,Cereales y Derivados,Pavo,300 gramo,Carnicería,Verduras variadas,400 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 kJ,382 kcal,8 g,2 g,50 g,5 g,8 g,25 g,Cocina el arroz integral en agua hirviendo con sal según las instrucciones del paquete,Corta el pavo en tiras o cubos pequeños,"Lava y corta las verduras (pimiento, calabacín, zanahoria) en trozos pequeños","En una sartén grande, calienta aceite de oliva y saltea el pavo hasta que esté dorado y cocido",Añade las verduras y cocina hasta que estén tiernas,Mezcla el arroz cocido con el pavo y las verduras en la sartén. Salpimienta al gusto y sirve caliente
TRUE,Come&Sana,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Poke de Pollo,con Arroz Integral y Verduras,30 minutos,Comida,Aves,,Pollo,300 gramo,Carnicería,Arroz integral,200 gramo,Cereales y Derivados,Verduras variadas,400 gramo,Vegetales y Legumbres,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600 kJ,382 kcal,10 g,2 g,50 g,5 g,8 g,25 g,Cocina el arroz integral en agua hirviendo con sal según las instrucciones del paquete,Corta el pollo en tiras o cubos pequeños y sazona con sal y pimienta,Cocina el pollo a la plancha con un poco de aceite de oliva hasta que esté dorado y cocido,"Lava y corta las verduras (pepino, zanahoria, aguacate) en trozos pequeños","En un bol grande, mezcla el arroz cocido, el pollo y las verduras","Aliña con salsa de soja, aceite de sésamo y semillas de sésamo al gusto. Sirve frío o a temperatura ambiente"
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1003,Fajitas de Pollo,con Relleno Variado,30 minutos,Cena,Fast Food,,Pechuga de pollo,200 gramo,Carnicería,Pimiento rojo,1 unidad,Vegetales y Legumbres,Pimiento verde,1 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Tortillas de trigo,4 unidad,Cereales y Derivados,Comino en polvo,1 cucharadita,Condimentos y Especias,Guacamole,100 gramo,Salsas y Aderezos,Queso rallado,50 gramo,"Lácteos, Huevos y Derivados",Lechuga,100 gramo,Vegetales y Legumbres,,,,,,,,,,1800 kJ,430 kcal,15 g,3 g,45 g,6 g,6 g,25 g,"Corta la pechuga de pollo en tiras y sazona con sal, pimienta y comino","En una sartén grande, calienta el aceite de oliva y cocina el pollo hasta que esté dorado",Añade los Pimiento rojo y la cebolla cortados en tiras y cocina hasta que estén tiernos,Calienta las tortillas en una sartén o microondas,Sirve el pollo y las verduras en las tortillas,"Acompaña con guacamole, Tomate frito, queso rallado y lechuga"
TRUE,Penaparda,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Pasta con salsa boloñesa,de carne picada con tomate y cebolla,45 minutos,Comida,Pastas y Arroces,,Macarrones,200 gramo,Cereales y Derivados,Carne picada,200 gramo,Carnicería,Tomate frito,200 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Apio,1 unidad,Vegetales y Legumbres,Orégano,1 cucharadita,Condimentos y Especias,Queso parmesano,50 gramo,"Lácteos, Huevos y Derivados",,,,,,,,,,1800 kJ,430 kcal,15 g,5 g,55 g,10 g,5 g,25 g,Cocina la pasta según las instrucciones del paquete,"En una sartén, cocina el bacon hasta que esté crujiente y retira el exceso de grasa",Bate los Huevos en un bol y mezcla con el queso parmesano rallado,Añade el ajo picado a la sartén con el bacon y cocina brevemente,Escurre la pasta y mézclala rápidamente con la mezcla de Huevos y queso,Agrega el bacon y mezcla bien
TRUE,Penaparda,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Macarrones con chorizo,y sofrito de tomate con cebolla,30 minutos,Comida,Pastas y Arroces,,Macarrones,200 gramo,Cereales y Derivados,Chorizo,100 gramo,Carnicería,Tomate frito,200 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Orégano,1 cucharadita,Condimentos y Especias,,,,,,,,,,,,,,,,,,,1800 kJ,430 kcal,20 g,7 g,50 g,8 g,3 g,20 g,Cocina los macarrones según las instrucciones del paquete,"Mientras se cocinan los macarrones, corta el chorizo en rodajas y pica finamente la cebolla y el ajo","En una sartén grande, calienta el aceite de oliva a fuego medio y añade la cebolla y el ajo",Sofríe hasta que la cebolla esté transparente,Añade el chorizo a la sartén y cocina durante unos 5 minutos hasta que esté dorado,"Agrega el Tomate frito, sal, pimienta y orégano y cocina a fuego lento durante 10 minutos"
TRUE,HelloFresh,https://www.hellofresh.es/recipes/crema-espinacas-bacon-lechuga-6616b8d29064812f61712c81,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Crema de espinacas con bacon,con cogollos frescos de lechuga aderezados,35 minutos,Cena,Sopas y Cremas,https://www.hellofresh.es/recipecards/card/6616b8d29064812f61712c81-es-ES.pdf,Brotes de espinacas,1 unidad,Vegetales y Legumbres,Patatas,200 gramo,Vegetales y Legumbres,Caldo de verduras,1 sobre,Líquidos y Caldos,Queso crema,1 unidad,"Lácteos, Huevos y Derivados",Cebolla,1 unidad,Vegetales y Legumbres,Cogollos de lechuga,220 gramo,Vegetales y Legumbres,Bacon,100 gramo,Carnicería,Vinagre de vino tinto,1 cucharadita,Salsas y Aderezos,,,,,,,,,,,,,1876 kJ,448 kcal,21.7 g,9.2 g,31.5 g,7.5 g,3.3 g,14.3 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Pela las Patatas y córtalas en dados de 2 cm. Pela la cebolla, divídela en dos y córtala en tiras finas. Corta los cogollos de lechuga por la mitad a lo largo, luego, apoya la parte plana y corta en tiras finas.","En una olla, calienta un chorrito de aceite a fuego medio-alto. Luego, saltea el bacon durante 3-5 min, hasta que quede dorado y crujiente. Retira de la olla y reserva. Puedes retirar el excedente de grasa de la olla si hay demasiada.","En la olla, calienta un chorrito de aceite a fuego medio. Luego, agrega la cebolla junto con una pizca de sal y cocina 4-5 min, removiendo frecuentemente, hasta que quede transparente. Luego, agrega la Patatas y cocina 2 min más.","Añade a la olla el agua (ver cantidad en ingredientes) y el Caldo de verduras en polvo y salpimienta. Remueve y lleva a ebullición. Cuando hierva, baja a fuego medio y cocina 15-20 min, con la olla tapada, moviendo de vez en cuando, hasta que la Patatas esté tierna.","En la olla, agrega las espinacas y la mitad de la lechuga troceada y cocina 2-3 min más a fuego medio, hasta que las espinacas se reduzcan en tamaño. Luego, agrega el queso crema y remueve para que se funda e integre. Con un túrmix, tritura hasta obtener una crema homogénea. Prueba y recitifica de sal y pimienta.","En una ensaladera, mezcla el vinagre de vino tinto (ver cantidad en ingredientes), un chorrito de aceite, sal y pimienta. Luego, agrega la lechuga troceada restante y mezcla bien. Sirve la crema de espinacas y lechuga en platos hondos y agrega encima el bacon crujiente y la lechuga aderezada."
